idx	utterance	sentiment
29	The worst customer experience you could  wish for. Wasted 6 hours of my day because of there lack of knowledge. Do not trust them. I cannot stress enough...	1
30	TERRIBLE CUSTOMER SERVICE. The manager was VERY rude. Do not waste you're time with this location.	1
31	I took my wife's iPhone to a different att store to get a new SIM card. I had already called customer service, who told me it needed a new card.  The next...	1
32	After 2  lengthy chat sessions I had to go in for help. I had the 1st appointment of the day but they took the walk-ins without asking anyone about...	3
33	I went to this location to upgrade my phone and for some reason they could not get into my account for about 2 hours. I called customer service and three...	1
34	"Lousy service, LONG Wait. Oh your not on the account! F U
then told, Did you get the phone wet?
Doesn't make any frigging difference we have the protection..."	1
35	Estevan was super helpful and we will will be back to this store next time we have any needs for service or new phones.	3
36	"DO. NOT. COME. HERE. 

They are an authorized AT&T store and it's so ridiculous. They have messed up my account several different ways from the very..."	1
37	"Just went to the store for help on wireless account change.

Only got the run around.  In-store Customer service person asked me to call AT&T's customer..."	1
38	At&t mesa riverview store and sales representative James Souhan worse store hands down.Was told 1 price and my bill reflects double that.I wouldnt...	1
39	This store is poorly ran! My brother spent 4 hours there getting our phones transferred, the tech messed up and put in the wrong phone number for the port!...	1
40	GREAT SERVICE. Super smart reps. Found out I was over paying for years, they fixed my plan and even got me a tablet for less. Definitely recommend them.	3
41	Patient understanding and very friendly people work here thank you for all your assistance.  I really enjoyed the opportunity to do business.	3
42	Jairo  Sanchez was super pleasant and helpful. He went above and beyond. I usually do not go to this store but will be visiting again.	3
43	"This review is long overdue-- I tried writing a few weeks ago and my computer went out so it didn't post.  
My husband and I went into this location since..."	3
44	"Nice clean AT&T wireless store. Agent are very friendly and know the products they sell.
Nice parking space. 
Store has a lot of products and seating area."	3
45	THIS is customer service. Was greeted at the door and treated like a person, not a number, not a sale - throughout the transaction.  Vanessa is WONDERFUL,...	3
46	Standing in the store at the moment, just need a simple phone check. Not getting calls or text on my NEW iPhone X and they said it will take 30-45 min wait?...	1
47	A huge Thank you to Luke!!! You done more for me in the 30/45 minutes that I was there than any other AT&T store ever has! I'm tired of the iphone and I'm...	3
48	AT&T cannot keep your word to expensive supervisor and make a contract with them and then they end up charging you more when your plants they're very unfair...	1
49	"Fast friendly patient. Handled stressful situation very well 
Helpful as well as good problem solvers thanks."	3
50	Amazing customer service!!! Got four new iPhone XRs, added military discount, DirecTV. All went seamlessly. Highly recommend this location!	3
51	Super friendly staff and quick help (however - keep in mind there was only one other customer).	3
52	Visited this location last night after an awful experience at a different location. Great customer service, very informative, and helpful.	3
53	This was literally the worst ATT store ever. There's one guy who takes forever to get through customers, and the people who check you in are worthless and...	1
54	Lukas was great help I needed to get a screen protector for my iPhone XR and he was able to do it in a timely manner whole making sure not to get any dust...	3
55	"Terrible customer service. My bf went in to see if they can activate his phone bc the SIM card they sent us in the mail said ""SEE YOUR SALES ASSOCIATE FOR..."	1
56	I had a FANTASTIC experience when I went in to look at and eventually purchase our phones and DirectTV.  They treated us well and Austin was great -...	1
57	"Thank you Andrew for helping my husband with the purchase of the IPhone XLR

Great doing business with you.

Easy Peasy 

Dawn and Mark Packer"	3
58	"This store is why I'm now a Verizon customer. 

The second my brand new iPhone turned on, while still inside the store, it was overheating. Instead of..."	1
59	I had to wait a little bit upon arrival, but Samantha provided some of the best customer service I've ever had. She was very knowledgeable, friendly, and...	3
60	"I cannot believe people are rating this store 5 stars.  Over half of the ""demo"" phones were plastic fakes.  When we asked to see a real one we were told we..."	1
61	I would like to put in a formal complaint. I came into your store location at the Chandler Fashion Mall around closing time. Sorry, I had just gotten off...	1
62	I went in to buy a wireless charger and one employee was helping me and he was showing me the one you guy's have on a table, Well it wasn't plugged in so he...	1
63	Earlier this year I purchased a tablet device that I thought was configured to work immediately out the box with AT&T but only later to find out that it...	3
64	If you come here and Moke helps you, just know he'll probably look through your private photos and zoom into things he shouldn't while he's suppose to be...	1
65	If I could give this store zero stars I would. Sat here for half hour and still didn't get seen. Two employees had to attend to one couple while one other...	1
66	If I could give zero stars I would. This company is a joke. They lie through their teeth to get you to sign the contract then make you spend hours on the...	1
67	Rude!!! Came to the store at 7:40pm and they were closed although 8pm is the closing time. Maybe I'll try a real ATT store next time.	1
68	Went into the store with the intention of upgrading our 2 iPhones, Waited about 10 minutes and the manager came in. We were next  in line. The manager...	1
69	"The store had good service. I was switching my phone plan to save some money and I had started the process over the phone, finished it in store. 

The store..."	3
70	"We stopped in here to get some help with an AT&T phone that we had just changed out to a newer model.

Jose Jaramillo was there and he was great in helping..."	3
71	And I just talk to it now OK I was attended with Jay in Sunday the 2705 October at 27 Avenue AT&T store in hi I am very appreciative with all these...	3
72	Came in to pay 2 bills and get my Apple Watch  connected to my new phone when I say Maria helped me. She did her job she actually cared helped me and multi...	3
73	This store is horrible. If I could give no stars I would,  they deserve no stars at all. Their service sucks and employees does not seem to know what to do,...	1
74	Horrible! I needed my phone fixed ASAP and came in plenty of time before closing but coworkers were talking amongst each other and only 1 last was helping...	1
75	Stopped in to get info on FirstNet and Chelsea helped me. She was awesome. Extremely patient, knows her stuff, and just did a stellar job. Excellent...	3
76	"I'm am writing this review for my two friends who bought phones at this location over the Christmas holiday. 
Chelsea is AWESOME. She was so patient and..."	3
77	Crewmember Daisy is an awesome employee and has excellent customer service. She stayed over one hour past closing to assist my husband and I with our phone....	3
78	Needed to add a line on my fiancé's account. We looked up various locations to see which ones were open around 7pm. Came across this one. Came across a good...	3
79	Awful customer service. Unresponsive and do not follow up or follow through with resolutions. I've been a customer with AT&T for over 15 years and this...	1
80	I don't like this store every time I go it's something I walked in and asked for the price to pay off my phone lines and the guy says ok well you do know...	1
81	Zach G at this store is the only reason I stayed with AT&T today and didn't move to another carrier. He was able to listen to my problem and didn't make me...	3
82	Alyssa is amazing! She is patient and explains things well. She appeared to genuinely try to achieve my goal for my visit.	3
83	I would give this store a ZERO if I could.  Walked in to ask a question about unlocking one of my devices .  the sales associates all looked my way when I...	1
84	Great service from Ray on explaining my account and helping me combine my bills for more discounts. Ray was very friendly and I highly recommend him if you...	3
85	Brandon straight up lied to us when signing up for direct tv. He promised us a 200 dollar credit plus a 100 dollar visa gift card, well guess what direct tv...	1
86	I'm so happy that I've come to this store for customer service! Robert Ramos helped me with my old phone and trouble shoot and then got me an awesome deal...	3
87	We met with Trevor. What a terrific guy. I had been having issues with my phone. After talking with him he suggested changing out the SIM card. In doing so...	3
88	This store will never rise above a 2.5 or 3. My sales person was very nice, however, somewhat distracted by the recorded football game playing on the TV. I...	1
89	"Bought a phone at the AT&T Sonoma Village Scottsdale. Wasn't
busy but was told after I purchased I have to go to the Apple Store
to transfer Icloud from my..."	1
90	Worst mistake was coming to this location and being FLAT OUT LIED to!? Was promised a BOGO on IPhone X...... here I am 2 months later with a bill $60 more...	1
91	This AT&T has been one of the worst I've been to. I gave them two stars for their effort in greeting me. However, they can never help me with anything. I...	1
92	I took my Samsung Galaxy S8 PLUS to AT&T to get help transitioning to this phone from a Galaxy S5.  Gaith provided my husband and I with a superior level of...	3
93	I cancelled my service for Direct TV back in beginning of June as I no longer needed the service. I sent back my box at the local UPS store as instructed. I...	1
94	Worst company I ever dealt with. We had Them for over 10 year. Every year They would raise my Bill every year by $30 I would call them and couldn't...	1
95	worst ever. Won't even provide more than one channel guide. went out after a brief rain...unbelievable. Going to cancel after only two weeks even though it...	1
96	I installed IOS 13.1.3 and started getting a weird calendar error. I went to this Verizon store because this is where I bought my phone. Apple couldn't fix...	3
97	Yes Verizon is expensive but it has good connection in the US. But when I had my IPhone 7s it was getting bad connection. Also my cousin had connection...	2
98	Their team is very RUDE! Verizon's values have changed from customer centered to money maker - no longer customer centered. This team at the store definetly...	1
99	Upgraded to gigablast had issues with thw panoramic wifi which i had read from several places kept calling i ended up getting very little help except from...	2
100	Had Cox internet at the basic level for $40/month.  I got a letter in the mail offering a 2 year agreement but no price listed.  I called the phone number...	1
101	"I wish I could give these guys a big, fat ZERO!!! Actually negative 100 would be better. 

Monopolistic thinking. Monopolistic customer service. Rip you off..."	1
102	Brisa Mancilla was an awesome Sales Consultant. She answered all my questions, offered complete service with a friendly smile.  You need more...	3
103	Sprint, not only this store needs help. I terminated this account  when I switched service to AT&T. I kept the same phone number and transferred it to the...	1
104	Your Employees have no customer service. And when being helped They don't even pay attention to you or give eye contact. Their personal phone is more...	1
105	I am very happy with Helix Telecom.  We were approached by numerous vendors who claimed they would save us money on our telephone bill, but by the time they...	3
106	We had previously filed a complaint against the company for failing to meet their contract obligation. The company did not want to do anything to try to...	1
107	I have been very happy with this company from day one. We have been with Helix over a year now. My practice is running very well with it. Customer service...	3
108	Need to get my screen protector change and Oscar actually did a good job and very carefully removed all the bubbles that can possibly be underneath the...	3
109	Manager didn't waive the restocking fee of $50 don't even because I have been with T-Mobile for more than 20 some years. I'm about to be looking to switch...	1
110	GREAT service & support from Kevin Flores @ this T-Mobile store!! Sooo happy to ditch Sprint & Kevin was so helpful & patient as we switched carriers! Great...	3
111	"T-Mobile, from Customer Service, to Technical Support, to Billing, to Supervisors, and Management, Thank you!
To current customers and non-customers please..."	3
112	"*Before I get started, I need to point out that this review is specifically about this retail location, not TMobile as a whole.*
I visited this location on..."	1
113	Carlos the manager went above and beyond on customer service.  I would only hope that the CS on the phone end would take time to explain that when you...	3
114	I've been using AT&T for a long time. But there customer service is not that great. So I toyed around with the idea of getting a new phone with Verizon. The...	2
115	I have never been treated more disrespected in my life. I came in for assistance with my new IPHONE XR and the Apple brand battery case, that has...	1
116	Would've given this location one star had it not been for Sylvester (I think was his name). This store is dead first of all, walked in and saw five guys...	1
117	I have been under contract for 2yrs and was ready to call it quits but thanks to Terresa @ this sprint store i am staying a faithful customer of sprint,...	3
118	This entire connectivity source company is awful!!! I don't recommend anyone going to this store, the location over on 16860 w Waddell, or the store I'm...	1
119	Julian killed it yesterday! My iphone7 crapped out and he did trouble shooting till we figured out what was wrong then helped me select another better phone...	3
120	People here were very helpful and friendly. I highly recommend this office. They answered all my questions and made me very confident in my choice.	3
121	The worst customer service experience I had in my entire life. They are scammers. During the home show garden I had the misfortune to talk to one of the...	1
122	"Buyer Beware, they will make promises that are too good to be true, take your money and run with it. 

If you see a Directv booth at a home show just keep..."	1
123	If you read my last post...I decided to text  Kile one last time and give him an opportunity to correct my situation. He did respond immediately and was at...	3
124	I give this kid 1 star..... he at first did what he said he was going to; by coming to our home and fixing my wife's cracked iPhone screen. With his...	1
125	AMAZING. Have had Kile fix my phone(s) a few times over the last 5 years and I'm always so happy with it!! Half the price of buying a new iPhone or getting...	3
126	"These guys are the BEST combination of competent, speedy, professional, and financially reasonable. Will did a GREAT JOB for me!!!! 
I will return and I..."	3
127	I had a great experience at t mobile last night! My aunt was looking to upgrade her phone and I don't think it could have been anymore smooth! These young...	3
128	This is so freaking ridiculous!!!! From the month after we got T-Junk-obile, we have had nothing but issues! We were less than 1 mile from a tower, yet we...	1
129	I would never recommend cricket wireless. My mom subscribed to this service, then she was in the hospital and rehab for a month so she did not check her...	1
130	"Not sure why this location is called Cricket Wireless ""East Valley"" because the store is located at 43rd Ave West Thunderbird Road in Phoenix.

Anyways, the..."	3
131	Just wanted to share my awesome experience of T Mobile store at 59th ave and Bell Rd. Glendale Az. I had alot of attention from Iber(not sure of spelling....	3
132	DO NOT GO HERE! Nimo doesn't know what she was doing and over promised. She even laughed on the phone when I called today. Victoria who is supposedly the...	1
133	My son's phone died so I came here to get it fixed. They worked hard to fix it but couldn't.  Everyone was friendly, attentive, and efficient.	3
134	Not really a great experience.  The service is not great, not horrible, but definitely a downgrade from Verizon.  My biggest problem w Verizon was...	1
135	It's very bad company and steal my many a lot of time after when i check with agents tell me we dont know why the bill is higher  i want back at&t is better...	1
136	"This is the second time we have tried this location. The employees are rude and do not have good customer service skills.

This location does not reflect..."	1
137	"Well let's shout it out. Sprint has a great deal right now Switch to Sprint and save 50%
Available on most Verizon, AT&T and T-Mobile rate plans.
FREE..."	3
138	Don't bother making an appointment online and waiting hours at home. When you go to this place and inform the sales clerk you have an appointment and show...	1
139	I purchased my new Note 8 on Oct. 2nd along with an Otter box case, the Symmetry. After more research I decided that the Commuter Otter box was  better...	1
140	My s3 made it 2 years before the screen cracked from a drop. Figured I would just upgrade soon anyways so oh well. Met Sean and he said he could fix it, and...	3
141	Sean and Carol and their team are awesome, the nicest and courteous professional full service cell phone store i know. Keep it up you guys you're doing a...	3
142	Sean is the best!  I don't even know where to start.  First let me tell you the history of my daughter's iPad, she broke the screen so we went to the mall...	3
143	These guys! Amazing and clean shop. The staff have been the best to guide me through the products and accessories choice. I would highly recommend stopping...	3
144	Pathetic. Waited half an hour. Barely greeted. Ended up walking. Keep your distance from this place. I won't be back.	1
145	"I stood in the store for over a half an hour and never was helped !!!
Horrible customer service"	1
146	Kayla and Alyssa were fantastic! Very helpful, knowledgeable, and friendly. Put cartoons on for the kids while they waited.	3
147	Came in for a simple question and service representative said what's the question. So I started to explain and she cuts me off and says. Can you go to a...	1
148	Terrible store been there multiple times an had to leave an go to other ATT Codys has horrible personal skills needed a SIM card an he tried charging me $5...	1
149	Great customer service and very pleasant staff. They are very knowledgeable and attentive to your specific needs.  They understand all aspects of your...	3
150	This was the best AT&T store ever! There was no wait. We were greeted very politely by John and he was able to help us out very quickly! I will definitely...	3
151	Fabulous customer service I had no wait!! They were very kind and helpful polite and helped me find the best price for a new phone.	3
152	My first time here, its only been here for 3 weeks...I needed a cable for my pickup so a visit was needed. The help showed me the lineup and I went with the...	3
153	"So you are sorry you fell short of my expectations. You were extremely rude 

you kicked me out of your store and denied me my first amendment rights  after..."	1
154	Convenient location in the Sierra Vista plaza. Very visible from  the street so you're not driving around looking for the store. Every time I've come in,...	2
155	If I can give this store a negative 5 star I would.  Don't be fool about their Buy one Get one free promotion.   I bought 2 iphones and was told it would...	1
156	If I could give negative stars I would.  This store is no exception to AT&T's overall attitude which, in my opinion, is that AT&T exist to take your money,...	1
157	Don't ever go here. Poor service. There was a promotion going on where if you buy a new iPhone, then you get an iPad min with it. They didn't have any in...	1
158	"I stopped by the at&t at Sierra vista, just to ask a few questions, the girl was so RUDE and basically said ""I can't help you."" So I was like fine I'll go..."	1
159	THE WORST RETAIL EXPERIENCE OF MY LIFE!!!! STEER CLEAR OF THIS PLACE!!! I went in to purchase a charging cord and they asked for my phone number. I told...	1
160	UPDATE #2: Brytt resolved my issue and my account was closed and dealt with by January... however, I was lucky enough to randomly receive a thoughtful...	1
161	Richard gave us the best customer service we have ever experienced. He went above and beyond for us when we struggled to resolve issues with customer...	3
162	THIS ATT store does not uphold the warranties of products they sell. I bought a phone cover for my phone which had a one year guarantee.  I asked at time of...	1
163	Went to this store, gotta say they are probably the most professional out of all the att corp stores in fresno. Wanted to upgrade my phone, and got in and...	3
164	I went to this store today to ask for help regarding a billing issue that has not been able to be resolved over the phone. I received the most disappointing...	1
165	We've always gone to the store on Kings Canyon for service and never had any issues, but this location was closer on this day. Walked in, gave the doorman...	1
166	Great team here. Had a bad experience at the store at Blackstone & Herndon and when I told the guy here at this store he apologized and did a great job...	3
167	I walked into the store, no one greeted me like every other AT&T store. Someone took my name but did nothing with it, two other sales associates asked me if...	1
168	I was impressed with the service I got today at this location. Mikala represented the best of what you'd hope to get in someone sitting down with you to...	3
169	A store associate named Noelia wouldn't honor a warranty for a charger that was through at&t. I brought in a receipt and all legit information and she...	1
170	Andres is awesome! He is very friendly and felt like I knew the guy my whole life! I will definitely recommend the people of Sanger to this store! Andres...	3
171	"Went to make a payment for my internet & girl pulled up my account & only AFTER opening my account she told me ""I cannot take payments only cell phones"" if..."	1
172	Crystal was the most helpful person I have ever had at a phone store. She was super kind, friendly, and knowledgeable. She really helped me and mom out.	3
173	Absolutely the worst customer service. The staff lies so they don't have to deal with broken phones. Doesn't deserve the one star.	1
174	Horrible experience. Especially with Crystal, she has no clue what she's doing. I'm on day 2 of trying to fix an order she screwed up on. I'm switching...	1
175	Worst customer service I've received at any AT&T. The guy didn't even know what I was talking about I had to repeat myself like 5 times and all he said was...	1
176	I'm giving this store 5 stars because of the wonderful experience with sales associate Cesar. We went in to open a new line and boy we left pretty happy...	3
177	This is the worst I had my and the speed is freaking slow as hell and takes about 1-4 just to freaking go to a page	1
178	I've been standing here for 20 minutes and I understand that both associates are busy with customers. I get that. Make your sales, up sell all you can! Make...	1
179	"To the lady with black hair, mid length, in boots, acrylics, and about 5'2 with a bad attitude. I dont appreciate your service. 
My mom went in today..."	1
180	One of the best stores in Fresno! Don't let the area fool you this store is fully staffed with some of the highest tiered professionals! 10/10	3
181	Can I say better than Apple any day! I came to this AT&T Retailer with my dad in the late afternoon to get a new IPhone. I have everything Apple. My iPhone...	3
182	Girl doesn't know what she's talking about. Didn't know about the att signature discount	1
183	Dean Jacobs provides excellent customer service. Would highly recommend him for all of your AT&T needs. He gives great advice and is very patient when...	3
184	"I just had Uverse internet installed for my parents, since their existing ISP (Clear/wire) is shutting off in November 2015. 

I'm writing a review hoping..."	1
185	Horrible expierence with att.  During a move i called to swith service to new house.  All they wanted to do was sell me an upgrade.  I bought the upgrade...	1
186	I am writing this review while on hold with AT&T customer service. I've already been on the phone for an hour. AT&T is my provider for home phone, cell, TV,...	1
187	So many employees & not one can help me get a SIM card. I was waiting for a long time. And they continue to stand around not doing anything. But take there...	1
188	"3 words to describe this place ""IDIOTS WORK HERE"", from employees to managers.  Went to purchase prepaid phone, they said I can't do it, it's for prepId..."	1
189	The sales person  and the manager went above and beyond to help me get rid of Xfinity and switch to DirecTV. Love it so far!! Thanks to this location	3
190	Awesome customer service from the store manager- Shelby.  She was great to work with.  Shelby helped me resolve the issue I had with my phone not receiving...	3
191	One of the worst store ever. I walked in with intention to buy iPhone XS Max and wasn't properly greeted I don't know her name but black lady who work at...	1
192	"IF YOU CAN AVOID GETTING AT&T. DO!
Unfortunately, we need WiFi it's the only network that covers my home or else I would've gone with Xfinity. 
Horrible..."	1
193	After much wait for my replacement phone to arrive via mail, I stopped in here because I am not even slightly tech savvy and everything electronic I touch...	3
194	When in today to see about getting a speed upgrade to my internet. Not only were they able to do it, it's only costing $10 more a month. Fast and friendly...	3
195	This location has nice employees but their displays are always broken or have no power. Typically I just avoid this location because i like to see the...	1
196	To the Madera AT&T Store. I'm very dissatisfied in the quality of employees. I go into purchase a iphone 7. They take my name get me on the board, and tell...	1
197	Iliana was great! I got in and out super fast! All of my questions were answered and I got my new phone with no hassles at all. I highly recommend this...	3
198	I went in to ask questions about my bill and was helped by Gerado...he wasn't helpful at all. He didn't make eye contact and didn't even try to help me with...	1
199	I went in today to trade in my phone. My old phone had a screen protector that was put on by a previous retailer and they were having trouble removing it....	1
200	"Totally Ripped off.
Thought I could be a good son and buy my dad a phone for Fathers Day. The phone I wanted to get him was out of stock. So the store..."	1
201	We got great service last week but came in this week to get a iPad and waited because the guys were occupied (normal) , a lady came out of the back and...	3
202	"Nestor is being very helpful in getting our account set up...  Great options and advice!!  Thanks Nestor!

Dewey Pest Control, Bishop!"	3
203	Selma AT&T store is one of the best and friendliest when it comes to customer service. Even when it's busy the employees communicate with you and make known...	3
204	I've never been to a better at&t store . The staff is so friendly and clearly very knowledgeable about products. I felt welcomed right when I came through...	3
205	"i was attended by an extremely rude employee named ""vanessa"" who clearly didn't even know how to explain on what was wrong with my phone. i hope the manager..."	1
206	Very unhelpful service. Can't stand this company or it's employees. Super rude. Why can't any of these employees do their job instead of wasting our time?...	1
207	Terrible customer service, the manager told me that if I didn't open my account in their store there was nothing they could do for me. I told him I did...	1
208	This place is crap, Jay is the store manager and lied through his teeth to get me to stay with att and even got me to purchase more stuff. I started college...	1
209	I had a regional manager cold call me yesterday afternoon. He was very polite and helpful. After the spiel I decided to change services mostly because of...	1
210	If I could rate negative stars I would. The WORST service I've ever had. Not only do my televisions in my home not work, but when calling to get this...	1
211	This morning I woke to a notification stating my NFLSUNDAYTICKET.TV. had been auto renewed. I checked the email and it states that I have until 9/7/19 to...	1
212	I can appreciate how difficult it must be to work here. At 10am on a Monday there is a line out the door. The place is always slammed with moderately...	2
213	My iPad Pro came bent and no one including the genius and one of the managers of the store even bothered looking at the device. Instead they just spat out...	1
214	What worst than an iPhone should be an Apple Store. I wait for 2 hours and still haven't been talk to a technician.  You guys should not Genius Bar to be...	1
215	Huge relief! Thank you Christina Tinsley for resolving my issues with billing and services. This has been a frustration for months. Christina lowered my...	3
216	Do NOT provide services for the owner of Elite Satellite Services. Gilbert Flores promised me payment for my 1st service on his personal property and hasnt...	1
217	THE WORST!!! Have tried doing business with the owner Gilbert Flores in a few occasions. I have got to say I have never dealt with someone more...	1
218	I came here with my mom about a week ago and I have to say I have never seen better customer service in my life! I mean this guy's really went above and...	3
219	Our experience with the Champlain & Perrin location has always been excellent. The reps are super-efficient​ and courteous. They always resolve any issues...	3
220	I've been to the Champlain and Perrin Rd Verizon store on many occasions over the last 10 years. Whether to purchase a new phone, as I did last week, or to...	3
221	took my laptop hard drive here for a data recovery because the laptop was totally dead. I had gone to the PC store next door, but they took my $40 and did...	3
222	First time Yelp review. Saw that these guys had high reviews for Fresno and reasonable prices, decided to come in to get my Essential Phone PH-1 screen...	1
223	Have become a fan of this place. Originally took my daughter's iPhone to get the screen replaced, because it was cracked. At the time I also had a Samsung...	3
224	"Very helpful staff, especially Ed. 

I had a broken iPhone and he helped me return it and get it replaced. 

Highly recommended."	3
225	Expecting the worst experience in getting new phones, new service, kids phone etc. Pleasantly surprised to have the fortune of being greeted and helped by...	3
226	My name is John and I was assisted by Ian who was absolutely amazing. He went above and beyond our expectations and was able to resolve an issue in a timely...	3
227	"Last year I was paying $230 a month for four cell phone lines and one of them was not in regular use because the person moved out of country.

I decided to..."	3
228	Cassandra and Wendy were so professional and efficient!! I was only coming in to get one line and ended up getting four business lines. They made the...	3
229	Cricket sucks 3 days without service every day they say it will be fixed they are lairs	1
230	"Wish I could double it to TEN STARS.

I was quite impressed with the staff at my local T-Mobile store.  I was unceremoniously kicked off of an AT&T family..."	3
231	They are so slow at this location. Was not acknowledged when I walked into the store. Two people working both with customers and I'm invisible? What the...	1
232	I can't say enough about UnWired Broadband and how happy my folks are with their service. Living in rural Fresno County with terrible Frontier service that...	3
233	"Overall, I am really impressed. I debated forever to go with them then decided to give it a try. 

Trees are a burden and I had to cut one down so it..."	3
234	unWired Broadband has the best technical support!  They quickly and patiently helped me with getting all my routers to work properly together. I highly...	3
235	The employees here were great. I went in to see about a new IPad and got the info I needed and they helped me save money on my current Sprint plan. They...	3
236	"Worst experience ever!!!! 
Manager is a fake Erne was not help his crew literally lied to me about products and inventory. After I confronted him about the..."	1
237	I have to say every time I have been here I have been to this store both Naya and Jose provide more than exceptional customer service. Naya assisted us when...	3
238	The guys that worked there seemed really helpful at first but switching a line became so complicated. It took 3 days, 3 visits, to switch a line because...	1
239	Our cable sudenly lost channel 23 ESPN over a weekend and we assumed that everyones channel was gone. We went into the office late in the day, Tuesday and...	3
240	I like to watch Judge Judy when I'm home at 3 PM. Two days ago I go to watch it-the channel was out. Now tonight I turn to one of the late night TV talk...	1
241	"Awesome Service in Office and Field!
Never have heard of technicians coming out almost as soon as you call them at anytime day, night, and weekends! Very..."	3
242	First time I came in Zuli helped me and my roommate who was moving out switch out plan over to a new account in my name. She was very friendly,...	3
243	"Leaving another negative post.  Sitting here trying to stream Thursday night football but I can't because I ""don't have internet.""  

Again, it is insane to..."	1
244	The worst customer service ever--did not disconnect me on time. Then after more than 10  phone calls, on the phone over three or more hours, still could not...	1
245	When I go to this store there's usually a long wait followed by a salesman who is pushy, uninterested and sometimes just straight up lie to get you sold on...	3
246	I was always told I was a smart girl, but not smart enough to fall for Sprints BS. It seems the only way they can get as many customers as they can is by...	1
247	This has to be one of the worst customer service stories I have ever been into. Checked in at the kiosk waited 15 minutes no one evening knowledge me....	1
248	"My brother recommend this place for my iPhone.

Location is convenient and easy to find. The shop itself is big and has a sectional with magazines and tv..."	3
249	Broke my phone while camping, and I mean like broke broke it. I was heart broken. Came to this place, because he was fast to respond to my inquiry, wasn't...	3
250	Came in after my iPhone screen was both cracked and the screen was glitching with lines going through it like a 1980s television. I couldn't see anything in...	3
251	The best computer store in Oakhurst.  These guys really know their stuff.  They WILL fix your computer, make it faster than new, and they won't rip you off.	3
252	I have a HP laptop that turned off and I couldn't for the life of me get it to turn back on. My husband dropped it off here with Wally. Wally called me a...	1
253	I purchased a MacBook Air from there.  It worked okay for a while, but then Safari wouldn't open, so I couldn't get on the internet.  A computer isn't of...	2
254	OMG... What a great experience! Simple as that. Will be going back in the future as the need presents itself. Thanks Wally!	3
